Airline,Source,Destination,Duration,Total stops,Price,Departure Hour,Departure Min,Arrival Hour,Arrival Min
GoFirst,BOM,CCU,2.75,0,6799,21,45,0,30
Vistara,BOM,CCU,2.58,0,9888,17,20,19,55
GoFirst,BOM,CCU,2.75,0,6799,21,45,0,30
SpiceJet,BOM,CCU,2.75,0,8378,20,50,23,35
SpiceJet,BOM,CCU,2.67,0,9008,13,10,15,50
IndiGo,BOM,CCU,2.58,0,9768,17,35,20,10
Vistara,BOM,CCU,2.67,0,9888,7,0,9,40
Vistara,BOM,CCU,2.83,0,9888,14,5,16,55
IndiGo,BOM,CCU,2.5,0,9768,7,50,10,20
IndiGo,BOM,CCU,2.92,0,9768,19,25,22,20
IndiGo,BOM,CCU,2.58,0,10516,9,50,12,25
Air India,BOM,CCU,2.83,0,10539,6,0,8,50
IndiGo,BOM,CCU,2.58,0,10713,12,55,15,30
GoFirst,BOM,CCU,2.67,0,7566,5,50,8,30
IndiGo,BOM,CCU,2.58,0,7789,22,40,1,15
IndiGo,BOM,CCU,2.75,0,12737,6,25,9,10
SpiceJet,BOM,CCU,2.75,0,8378,5,55,8,40
FlexFlight,BOM,CCU,2.67,0,9986,5,50,8,30
IndiGo,BOM,CCU,5.5,1,9705,13,55,19,25
IndiGo,BOM,CCU,5.5,1,12141,17,10,22,40
IndiGo,BOM,CCU,5.25,1,12939,17,15,22,30
SpiceJet,BOM,CCU,2.75,0,16494,6,10,8,55
IndiGo,BOM,CCU,7.92,1,10314,15,45,23,40
IndiGo,BOM,CCU,6.17,1,11532,12,20,18,30
IndiGo,BOM,CCU,7.67,1,12750,13,55,21,35
Air India,BOM,CCU,6.42,1,15533,16,0,22,25
GoFirst,BOM,CCU,5.67,1,16719,18,0,23,40
Air India,BOM,CCU,2.75,0,16724,21,5,23,50
Vistara,BOM,CCU,5.67,1,19548,12,25,18,5
GoFirst,BOM,CCU,9.33,1,7948,22,30,7,50
GoFirst,BOM,CCU,10.33,1,7948,21,30,7,50
GoFirst,BOM,CCU,10.75,1,7948,21,45,8,30
IndiGo,BOM,CCU,9.42,1,9705,21,25,6,50
IndiGo,BOM,CCU,11.17,1,11097,18,5,5,15
GoFirst,BOM,CCU,10.08,1,11976,22,30,8,35
IndiGo,BOM,CCU,9.33,1,12750,19,55,5,15
IndiGo,BOM,CCU,10.33,1,13088,12,20,22,40
Vistara,BOM,CCU,9.58,1,13582,22,45,8,20
Vistara,BOM,CCU,10.42,1,13582,21,55,8,20
IndiGo,BOM,CCU,5.75,1,13706,5,20,11,5
AirAsia India,BOM,CCU,7.92,1,16864,18,10,2,5
GoFirst,BOM,CCU,9.92,1,18614,13,45,23,40
Vistara,BOM,CCU,6.33,1,18634,22,45,5,5
Vistara,BOM,CCU,6.25,1,19410,9,45,16,0
IndiGo,BOM,CCU,8.0,2,20086,18,5,2,5
Vistara,BOM,CCU,7.17,1,20598,12,25,19,35
Vistara,BOM,CCU,5.75,1,21696,18,30,0,15
Vistara,BOM,CCU,5.83,1,21696,19,45,1,35
AirAsia India,BOM,CCU,6.75,1,22139,13,5,19,50
Vistara,BOM,CCU,6.17,1,22617,11,55,18,5
